Region,Zone,Woreda,Period,BCG Distributed,BCG Administered,IPV Distributed,IPV Administered,Measles Distributed,Measles Administered,Penta Distributed,Penta Administered,Rota Distributed,Rota Administered
Addis Ababa,Addis Ketema Sub City,Abebe Bikila Health Center,2016,1280,728,910,726,1600,4577,2919,2256,1754,1516
Addis Ababa,Addis Ketema Sub City,Abisiniya Health center,2016,1380,343,645,456,510,845,1571,1370,979,926
Addis Ababa,Addis Ketema Sub City,Addis Ketema Health Center,2016,2260,994,1390,1255,2800,2243,4235,3791,2394,2536
Addis Ababa,Addis Ketema Sub City,Ginbot 20 Health center,2016,820,228,695,298,790,729,931,943,645,645
Addis Ababa,Addis Ketema Sub City,Kuas Meda Health Center,2016,980,605,985,728,1250,1426,1894,2195,1199,1467
Addis Ababa,Addis Ketema Sub City,Addis Rae Health center,2016,500,321,310,338,720,691,948,1049,513,711
Addis Ababa,Addis Ketema Sub City,Ethiotebib General Hospital,2016,2480,1915,1080,1261,2090,5123,3936,4184,2411,2723
Addis Ababa,Addis Ketema Sub City,Felege Mels Health center,2016,2240,859,1680,900,2580,1819,3289,2698,2000,1798
Addis Ababa,Addis Ketema Sub City,Kolfe Health Center,2016,5960,3338,3195,2705,9000,5397,9891,8070,5573,5365
Addis Ababa,Addis Ketema Sub City,Lomi Meda Health Center,2016,2300,1789,1875,1979,4820,3869,7029,5905,3659,3923
Addis Ababa,Addis Ketema Sub City,MikililandHealth Center,2016,6200,3128,3885,3944,8890,7807,12966,11544,6741,7525
Addis Ababa,Addis Ketema Sub City,Millinium Health center,2016,480,303,465,460,480,1009,1082,1302,682,834
Addis Ababa,Addis Ketema Sub City,Woreda 10 Health Center,2016,340,161,215,228,150,333,339,642,218,414
Addis Ababa,Addis Ketema Sub City,Woreda 11 Philipos Health Center,2016,2300,1179,1695,1382,3940,2668,4634,4118,2763,2750
Addis Ababa,Addis Ketema Sub City,Woreda 3 Health Center,2016,680,386,405,540,850,1172,1862,1710,862,1123
Addis Ababa,Akaki Kality Sub City,Akaki Health Center,2016,5660,2839,5290,2656,7140,3652,10638,7952,6011,5289
Addis Ababa,Akaki Kality Sub City,Gelan Health Center,2016,4760,2452,5655,3171,8050,5297,10744,8768,4456,5639
Addis Ababa,Akaki Kality Sub City,Gelan Gura Health center,2016,760,334,1445,484,1910,696,2197,1412,1353,936
Addis Ababa,Akaki Kality Sub City,Kality Health Center,2016,3160,1172,4310,1723,5060,3400,6782,4996,3905,3260
Addis Ababa,Akaki Kality Sub City,Saris_PHCU,2016,3380,915,2910,1526,3920,2687,6051,4462,3896,2922
Addis Ababa,Akaki Kality Sub City,Selam Frea Health Center,2016,1100,542,1350,828,2070,1491,2802,2367,1693,1539
Addis Ababa,Akaki Kality Sub City,Sertie Health Center,2016,3680,1326,2060,1510,3000,2713,5147,4558,2885,2996
Addis Ababa,Arada Sub City,Abuare Health Center,2016,820,225,690,334,520,808,1429,1084,931,730
Addis Ababa,Arada Sub City,Arada Health Center_Closed,2016,1240,160,545,175,200,386,1604,525,975,349
Addis Ababa,Arada Sub City,Bashawolid health center,2016,360,62,140,159,3500,293,293,357,196,225
Addis Ababa,Arada Sub City,Janmeda Health Center,2016,6860,2784,2460,1841,2180,3688,7127,6040,4625,4186
Addis Ababa,Arada Sub City,Kebena Health Center,2016,2820,1114,1805,750,100,1660,3502,2316,1977,1449
Addis Ababa,Arada Sub City,Semen Health Center,2016,2680,1236,2175,1254,660,2251,4565,3763,2681,2509
Addis Ababa,Bole Sub City,Bole 17 Health Center,2016,960,993,750,1036,1210,2057,2574,3371,1616,2225
Addis Ababa,Bole Sub City,Bole 17/20 Health Center,2016,720,520,810,779,1330,1339,2256,2461,1467,1676
Addis Ababa,Bole Sub City,Bulbula Health Center,2016,2300,1805,2105,2404,3910,4459,6257,8079,3950,5441
Addis Ababa,Bole Sub City,Bole Sub City Health Office,2016,13960,9290,9565,5308,12270,9008,22493,16742,15799,11210
